                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6553,                 3.0905,                 1.8898,                0.00308,                0.92308,                0.03841,                0.01155,                 1.4068,                 3.9279,                 2.1275,                  4e-05,                  4e-05,                  4e-05
                      2,                 1.3689,                 2.9486,                  1.747,                0.00308,                0.92308,                0.06823,                0.03006,                 1.3875,                 3.7708,                 2.0307,              9.604e-05,              9.604e-05,              9.604e-05
                      3,                 1.2269,                 2.7729,                 1.5534,                0.00308,                0.92308,                0.18704,                0.09056,                 1.5925,                 3.7209,                 2.0558,             0.00014733,             0.00014733,             0.00014733
                      4,                  1.212,                 2.3366,                 1.5321,                0.00333,                      1,                0.50601,                0.17146,                 1.6252,                 3.7806,                 2.2052,             0.00019386,             0.00019386,             0.00019386
                      5,                 1.0869,                 1.9762,                 1.4743,                0.00333,                      1,                0.48852,                0.23911,                 1.5317,                  3.593,                 2.1117,             0.00023565,             0.00023565,             0.00023565
                      6,                 1.1239,                 1.9758,                 1.4404,                0.00308,                0.92308,                0.60876,                0.33929,                 1.2843,                 3.3914,                 1.8756,             0.00027268,             0.00027268,             0.00027268
                      7,                   1.11,                 1.8528,                 1.4259,                0.00308,                0.92308,                0.74977,                0.44628,                 1.2292,                 3.2796,                 1.7725,             0.00030496,             0.00030496,             0.00030496
                      8,                 1.0529,                 1.7133,                 1.4026,                0.00308,                0.92308,                0.73078,                0.39443,                 1.3145,                 3.3597,                 1.8595,             0.00033249,             0.00033249,             0.00033249
                      9,                 1.0241,                 1.7238,                 1.3503,                0.00308,                0.92308,                 0.7082,                0.26616,                  1.561,                 3.4057,                 2.2297,             0.00035526,             0.00035526,             0.00035526
                     10,                0.87182,                 1.4896,                 1.2678,                0.00308,                0.92308,                0.71651,                0.22591,                 1.7602,                 3.4658,                 2.5973,             0.00037329,             0.00037329,             0.00037329
                     11,                0.99754,                 1.5561,                 1.3065,                0.85642,                0.69231,                0.71261,                0.24061,                 1.7465,                 3.3643,                 2.5962,             0.00038656,             0.00038656,             0.00038656
                     12,                 1.0867,                 1.5932,                 1.3929,                 0.7408,                0.44171,                 0.6127,                0.24599,                 1.6992,                 3.3263,                 2.4356,             0.00039508,             0.00039508,             0.00039508
                     13,                0.98989,                 1.4876,                 1.3086,                0.76965,                0.51595,                0.66624,                 0.2887,                 1.6754,                 3.2655,                 2.2801,             0.00039885,             0.00039885,             0.00039885
                     14,                0.90779,                 1.3148,                 1.2662,                0.65696,                0.44362,                 0.4718,                0.23583,                 1.7476,                 3.3441,                 2.4026,             0.00039786,             0.00039786,             0.00039786
                     15,                 1.0326,                 1.4406,                 1.3723,                0.78285,                0.55604,                0.75198,                0.36694,                 1.4978,                 3.1568,                 2.0559,             0.00039213,             0.00039213,             0.00039213
                     16,                  1.022,                 2.0006,                  1.435,                0.83691,                0.38462,                0.74113,                0.35712,                 1.3964,                 3.1923,                 1.9475,             0.00038164,             0.00038164,             0.00038164
                     17,                0.90159,                 1.7995,                 1.3648,                0.76634,                0.23077,                0.70822,                0.27457,                 1.4048,                 3.2483,                 1.9557,              0.0003664,              0.0003664,              0.0003664
                     18,                0.88554,                 1.7815,                 1.2435,                0.73194,                0.42264,                0.73477,                0.31117,                 1.4863,                 3.2408,                  1.982,             0.00034641,             0.00034641,             0.00034641
                     19,                0.91005,                 1.7215,                 1.3527,                0.77174,                0.52175,                0.79702,                0.32136,                 1.4325,                 3.1177,                 1.9568,             0.00032166,             0.00032166,             0.00032166
                     20,                0.80276,                 1.6994,                 1.2316,                      1,                0.64492,                0.86104,                0.34837,                 1.4696,                 3.0447,                  2.029,             0.00029217,             0.00029217,             0.00029217
                     21,                0.84788,                  1.713,                 1.2976,                0.98182,                0.76923,                 0.8813,                0.37304,                 1.4963,                 3.0373,                 2.0446,             0.00025792,             0.00025792,             0.00025792
                     22,                0.73005,                 1.5828,                 1.2104,                0.99669,                0.76923,                0.88614,                0.39074,                 1.5432,                 2.9431,                 2.0905,             0.00021892,             0.00021892,             0.00021892
                     23,                0.74157,                 1.5925,                 1.1929,                0.81111,                0.84615,                0.88604,                0.44896,                 1.5344,                 2.7469,                  2.033,             0.00017517,             0.00017517,             0.00017517
                     24,                0.73472,                 1.5561,                 1.1607,                0.85011,                0.87386,                0.90118,                0.46754,                 1.4969,                 2.6167,                  2.026,             0.00012666,             0.00012666,             0.00012666
                     25,                0.77376,                  1.536,                 1.2232,                0.84944,                0.86918,                0.90118,                0.46556,                   1.53,                 2.4944,                  2.133,             7.3408e-05,             7.3408e-05,             7.3408e-05
